date,vix_index,credit_spread,yield_curve_slope,sp500_return,sp500_price,gdp_growth,unemployment_rate,is_crisis,crisis_severity,exposure_amount,collateral_value,cds_spread_x,total_assets,leverage_ratio,liquidity_ratio,roe,credit_rating,stock_price,cds_spread_y,amount,transaction_type,is_crisis_before_3m,crisis_severity_before_3m
2018-02-19,18.76,317.4,0.762,3.84,2249.72,-2.82,11.64,1,7.35,1282718.73,796851.9,86259.9,28378.29736,21.392220000000002,0.075424,-0.1000746,1.5018,60.911699999999996,1285.5976,27413.605,payment,0,1.44
2018-03-21,19.89,548.2,0.942,-3.61,2168.39,-2.31,11.61,1,7.95,1543964.08,979632.85,88187.2,27958.49256,21.41028,0.07483799999999999,-0.1005252,1.4742,60.422019999999996,1283.838,31002.78,payment,0,0.69
2018-04-20,21.31,460.8,0.071,-6.52,2027.04,-2.58,7.06,1,8.55,1696165.02,980526.81,84874.5,29631.2469,21.378040000000002,0.076078,-0.0992634,1.4858,60.171620000000004,1281.4408,21830.88,repo,1,6.75
2018-05-20,22.74,560.8,0.949,-1.25,2001.73,-2.14,7.1,1,9.15,1422315.15,851833.55,83500.9,28096.992739999998,21.41236,0.07541800000000001,-0.10057479999999999,1.4914,59.6028,1284.6201999999998,26922.12,repo,1,7.35
2018-06-19,23.75,579.5,0.332,-2.4,1953.61,-2.95,8.01,1,9.75,1428538.32,826565.5599999999,83953.8,28255.98936,21.383779999999998,0.075554,-0.0999002,1.4788,59.25192,1284.0228,26222.1,payment,1,7.95
2018-07-19,25.55,527.7,0.204,-3.61,1883.13,-1.59,11.64,1,9.65,1517823.3599999999,907429.16,86368.0,29451.756,21.41668,0.075256,-0.0987972,1.4754,59.112480000000005,1286.3748,25522.08,payment,1,8.55
2018-08-18,26.26,332.8,0.689,1.57,1912.68,-2.04,9.73,1,9.05,1926692.48,1173630.53,79088.2,26942.59822,21.453979999999998,0.074812,-0.0994338,1.472,58.62296,1288.3946,24705.370000000003,payment,1,9.15
2018-09-17,27.8,578.0,0.801,-3.12,1853.0,-0.29,11.07,1,8.45,1514826.29,919308.04,85922.7,27619.799199999998,21.515700000000002,0.07514,-0.0996752,1.4526,58.1779,1290.6468,23888.66,collateral,1,9.75
2018-10-17,28.68,476.6,0.778,1.82,1886.7,-1.02,9.61,1,7.85,1315957.17,769147.75,85364.2,29102.0665,21.40646,0.075002,-0.0995776,1.4902,57.843779999999995,1283.7588,23897.645,payment,1,9.65
2018-11-16,29.39,389.1,0.215,3.01,1943.48,-3.48,11.63,1,7.25,1533939.77,1016632.58,82722.2,28898.66932,21.45524,0.075328,-0.0988034,1.4742,57.619620000000005,1287.657,23906.63,settlement,1,9.05
2018-12-16,30.87,572.8,0.701,-0.54,1932.9,-3.54,7.26,1,6.65,1205155.64,689164.53,85793.6,30077.25068,21.456619999999997,0.07565999999999999,-0.0995292,1.474,57.13106,1286.6426000000001,23788.46,payment,1,8.45
2019-01-15,30.36,152.4,1.773,-2.06,1892.99,3.83,5.19,0,0.95,2676037.35,1623820.99,97051.6,27664.25954,9.058159999999999,0.22678,0.0988942,6.9678,126.87324000000001,180.997,23670.29,payment,1,7.85
2019-02-14,29.99,221.9,1.015,-1.41,1866.23,3.51,4.36,0,0.68,2733084.89,1757956.88,93154.4,29996.14834,9.0645,0.225364,0.09956999999999999,6.9662,128.28578,179.7176,23552.120000000003,payment,1,7.25
2019-03-16,29.39,199.9,1.373,0.37,1873.07,3.34,4.22,0,1.08,2653168.69,1533370.18,92785.5,29764.493039999998,9.098559999999999,0.225126,0.0985964,6.9483999999999995,129.15938,182.6346,23433.95,payment,1,6.65
2019-04-15,28.97,182.0,1.229,0.7,1886.24,3.68,5.27,0,1.35,2672024.39,1627008.3399999999,92546.6,30823.016620000002,9.084700000000002,0.224686,0.0990752,6.9546,130.49182000000002,180.49439999999998,23315.78,payment,0,0.95
2019-05-15,28.17,185.1,1.609,-0.2,1882.51,1.69,5.16,0,1.12,1852071.85,1113658.24,90992.1,30476.43324,9.10776,0.22625,0.0987102,6.9448,131.85592000000003,182.2234,23197.61,payment,0,0.68
2019-06-14,27.44,165.1,1.445,-0.36,1875.79,1.96,5.34,0,0.44,2474825.74,1490916.41,89803.9,29943.42186,9.06238,0.22601400000000002,0.0991482,6.9702,133.54622,182.765,23079.440000000002,payment,0,1.08
2019-07-14,26.58,155.4,1.201,-1.47,1848.17,3.8,4.27,0,0.48,2215078.78,1290630.65,94220.5,31108.03178,9.0291,0.226566,0.09987520000000001,6.984,134.88182,181.9154,22961.27,payment,0,1.35
2019-08-13,26.38,212.5,1.479,-0.75,1834.33,3.61,3.73,0,0.23,2995959.37,1837718.51,98494.4,30915.8579,9.10528,0.226752,0.0995034,6.945,136.40735999999998,180.1894,19077.53,payment,0,1.12
2019-09-12,26.04,159.5,1.089,1.3,1858.19,1.84,4.7,0,1.18,2202542.83,1316106.13,94251.7,30875.15044,9.09342,0.224822,0.0978512,6.953,136.97262,180.45020000000002,26353.24,payment,0,0.44
2019-10-12,25.87,166.4,0.066,1.62,1888.21,3.92,4.86,0,0.62,2552540.19,1471424.87,96755.0,30079.91414,9.08682,0.223428,0.1000064,6.9563999999999995,139.77573999999998,184.0214,25131.620000000003,payment,0,0.48
2019-11-11,25.46,189.8,0.079,1.38,1914.26,2.54,5.26,0,1.38,2565670.42,1556793.23,94856.1,31662.735539999998,9.09588,0.226072,0.09891219999999999,6.952,140.26566,178.46020000000001,23910.0,payment,0,0.23
2019-12-11,24.71,173.0,-0.235,1.02,1933.77,3.45,5.35,0,0.96,2238562.38,1391787.13,92248.4,32035.14658,9.01584,0.224776,0.0995414,6.9908,141.97906,180.9178,22688.38,collateral,0,1.18
