datetime,from_institution,to_institution,amount,transaction_type
2022-08-27 10:17:00,INST0338,INST0099,1.0,repo
2022-08-27 11:41:00,INST0443,INST0036,0.19,collateral
2022-08-27 10:01:00,INST0261,INST0205,7.72,derivative
2022-08-27 05:37:00,INST0060,INST0450,21.45,collateral
2022-08-27 03:38:00,INST0493,INST0136,0.33,payment
2022-08-27 13:38:00,INST0223,INST0177,9.38,collateral
2022-08-27 18:12:00,INST0262,INST0060,21.83,repo
2022-08-27 00:33:00,INST0131,INST0023,23.18,repo
2022-08-27 21:46:00,INST0474,INST0413,4.89,derivative
2022-08-27 11:27:00,INST0482,INST0380,1.15,settlement
2022-08-27 19:20:00,INST0036,INST0486,105.23,collateral
2022-08-27 23:57:00,INST0340,INST0435,238.69,payment
2022-08-27 21:26:00,INST0154,INST0260,38.13,collateral
2022-08-27 17:08:00,INST0168,INST0207,6.51,collateral
2022-08-27 21:47:00,INST0099,INST0216,7.48,repo
2022-08-27 18:19:00,INST0463,INST0090,559.77,derivative
2022-08-27 09:18:00,INST0208,INST0281,0.42,payment
2022-08-27 19:41:00,INST0108,INST0221,32.83,derivative
2022-08-27 14:43:00,INST0165,INST0239,25.22,repo
2022-08-27 23:10:00,INST0110,INST0262,16.72,repo
2022-08-27 16:42:00,INST0338,INST0044,21.04,collateral
2022-08-27 02:52:00,INST0325,INST0318,6.88,collateral
2022-08-27 21:19:00,INST0488,INST0385,5.39,settlement
2022-08-27 04:01:00,INST0116,INST0413,13.28,settlement
2022-08-27 19:54:00,INST0024,INST0126,236.92,repo
2022-08-27 13:56:00,INST0394,INST0038,10.02,repo
2022-08-27 22:44:00,INST0323,INST0295,5.57,settlement
2022-08-27 07:09:00,INST0197,INST0254,10.83,repo
2022-08-27 03:49:00,INST0336,INST0353,17.47,payment
2022-08-27 22:33:00,INST0218,INST0113,200.56,settlement
2022-08-27 07:58:00,INST0238,INST0026,3.47,derivative
2022-08-27 04:51:00,INST0435,INST0063,9.25,repo
2022-08-27 17:38:00,INST0238,INST0342,3.87,derivative
2022-08-27 19:52:00,INST0163,INST0487,37.36,repo
2022-08-27 13:53:00,INST0369,INST0457,15.45,derivative
2022-08-27 05:47:00,INST0465,INST0281,69.49,repo
2022-08-27 08:48:00,INST0442,INST0244,0.81,repo
2022-08-27 16:31:00,INST0127,INST0431,24.25,collateral
2022-08-27 14:04:00,INST0321,INST0123,16.01,collateral
2022-08-27 08:21:00,INST0366,INST0147,25.2,settlement
2022-08-27 02:08:00,INST0164,INST0458,105.25,derivative
2022-08-27 22:09:00,INST0078,INST0119,87.41,repo
2022-08-27 13:26:00,INST0362,INST0110,0.35,payment
2022-08-27 13:03:00,INST0170,INST0278,39.9,repo
2022-08-27 12:57:00,INST0106,INST0427,2.01,repo
2022-08-27 18:24:00,INST0395,INST0300,44.17,payment
2022-08-27 09:48:00,INST0245,INST0004,10.85,collateral
2022-08-27 17:47:00,INST0200,INST0437,30.63,repo
2022-08-27 07:31:00,INST0377,INST0280,9.39,derivative
2022-08-27 15:01:00,INST0113,INST0140,12.99,repo
2022-08-27 23:10:00,INST0200,INST0173,1.51,repo
2022-08-27 19:34:00,INST0431,INST0240,3.73,settlement
2022-08-27 18:36:00,INST0014,INST0465,5.18,repo
2022-08-27 20:27:00,INST0340,INST0014,14.27,payment
2022-08-27 05:03:00,INST0070,INST0444,2.45,repo
2022-08-27 06:29:00,INST0134,INST0195,57.15,collateral
2022-08-27 08:48:00,INST0168,INST0173,9.46,repo
2022-08-27 08:53:00,INST0488,INST0426,3.91,repo
2022-08-27 23:34:00,INST0042,INST0241,7.42,payment
2022-08-27 07:41:00,INST0027,INST0488,1.16,collateral
2022-08-27 00:15:00,INST0036,INST0400,5.64,payment
2022-08-27 19:09:00,INST0103,INST0430,3.99,payment
2022-08-27 21:07:00,INST0123,INST0065,1.55,repo
2022-08-27 14:44:00,INST0289,INST0486,4.44,settlement
2022-08-27 05:38:00,INST0132,INST0393,8.26,collateral
2022-08-27 05:19:00,INST0311,INST0494,12.03,payment
2022-08-27 09:36:00,INST0056,INST0297,30.76,payment
2022-08-27 12:45:00,INST0347,INST0465,4.72,repo
2022-08-27 22:53:00,INST0102,INST0039,19.24,derivative
2022-08-27 22:49:00,INST0322,INST0125,4.7,payment
2022-08-27 03:50:00,INST0155,INST0436,10.96,derivative
2022-08-27 11:34:00,INST0290,INST0401,8.1,payment
2022-08-27 02:32:00,INST0220,INST0339,2.63,collateral
2022-08-27 13:52:00,INST0332,INST0175,107.78,payment
2022-08-27 11:40:00,INST0251,INST0055,14.82,repo
2022-08-27 22:09:00,INST0457,INST0425,2.31,repo
2022-08-27 20:17:00,INST0223,INST0091,5.3,derivative
2022-08-27 15:29:00,INST0316,INST0414,1.29,derivative
2022-08-27 08:20:00,INST0224,INST0423,39.61,derivative
2022-08-27 08:56:00,INST0437,INST0126,10.13,payment
2022-08-27 18:39:00,INST0231,INST0125,0.79,repo
2022-08-27 00:31:00,INST0343,INST0195,24.09,collateral
2022-08-27 15:13:00,INST0436,INST0167,6.02,settlement
2022-08-27 10:17:00,INST0182,INST0409,1.93,collateral
2022-08-27 17:00:00,INST0451,INST0306,8.12,collateral
2022-08-27 02:15:00,INST0265,INST0486,9.09,settlement
2022-08-27 17:48:00,INST0369,INST0209,3.48,repo
2022-08-27 20:45:00,INST0124,INST0354,2.46,repo
2022-08-27 02:18:00,INST0252,INST0230,0.3,payment
2022-08-27 09:42:00,INST0114,INST0208,0.45,settlement
2022-08-27 17:33:00,INST0298,INST0189,4.71,repo
2022-08-27 10:22:00,INST0177,INST0218,1.55,derivative
2022-08-27 09:16:00,INST0360,INST0233,15.55,collateral
2022-08-27 10:07:00,INST0119,INST0062,2.73,settlement
2022-08-27 06:13:00,INST0381,INST0275,29.92,settlement
2022-08-27 23:37:00,INST0379,INST0248,1.6,collateral
2022-08-27 09:06:00,INST0390,INST0269,0.68,derivative
2022-08-27 07:23:00,INST0427,INST0100,9.4,collateral
2022-08-27 22:34:00,INST0092,INST0155,38.21,payment
2022-08-27 01:35:00,INST0065,INST0141,81.69,payment
2022-08-27 20:55:00,INST0150,INST0358,24.69,settlement
2022-08-27 00:36:00,INST0386,INST0252,12.19,payment
2022-08-27 14:21:00,INST0146,INST0241,2.76,repo
2022-08-27 08:55:00,INST0095,INST0495,2.74,payment
2022-08-27 12:31:00,INST0245,INST0059,7.44,payment
2022-08-27 04:09:00,INST0038,INST0296,4.61,payment
2022-08-27 02:15:00,INST0416,INST0289,8.71,collateral
2022-08-27 19:38:00,INST0061,INST0286,4.68,repo
2022-08-27 16:24:00,INST0405,INST0317,2.49,settlement
2022-08-27 09:55:00,INST0231,INST0466,6.24,repo
2022-08-27 18:39:00,INST0302,INST0220,1.4,collateral
2022-08-27 06:40:00,INST0031,INST0313,5.86,payment
2022-08-27 05:15:00,INST0109,INST0136,17.18,payment
2022-08-27 05:00:00,INST0089,INST0283,22.33,payment
2022-08-27 15:18:00,INST0210,INST0231,3.31,derivative
2022-08-27 22:18:00,INST0017,INST0119,28.21,collateral
2022-08-27 02:43:00,INST0360,INST0441,6.7,repo
2022-08-27 20:37:00,INST0120,INST0474,0.55,collateral
2022-08-27 13:07:00,INST0339,INST0412,6.74,settlement
2022-08-27 08:52:00,INST0279,INST0116,8.01,settlement
2022-08-27 05:50:00,INST0073,INST0037,5.22,payment
2022-08-27 09:28:00,INST0158,INST0305,2.77,derivative
2022-08-27 22:25:00,INST0064,INST0240,2.73,collateral
2022-08-27 17:31:00,INST0483,INST0140,59.76,derivative
2022-08-27 01:56:00,INST0225,INST0042,5.71,derivative
2022-08-27 19:16:00,INST0222,INST0377,1.36,collateral
2022-08-27 21:53:00,INST0014,INST0047,4.07,settlement
2022-08-27 00:48:00,INST0441,INST0295,7.75,derivative
2022-08-27 18:02:00,INST0345,INST0421,1.62,collateral
2022-08-27 15:33:00,INST0391,INST0388,0.8,settlement
2022-08-27 05:37:00,INST0334,INST0227,2.95,collateral
2022-08-27 02:30:00,INST0224,INST0326,16.96,repo
2022-08-27 10:42:00,INST0179,INST0210,0.53,collateral
2022-08-27 10:26:00,INST0054,INST0440,2.06,settlement
2022-08-27 21:25:00,INST0356,INST0254,3.09,collateral
2022-08-27 01:29:00,INST0417,INST0390,14.93,derivative
2022-08-27 10:07:00,INST0046,INST0162,20.04,collateral
2022-08-27 16:52:00,INST0497,INST0396,3.07,repo
2022-08-27 14:26:00,INST0001,INST0337,11.18,derivative
2022-08-27 11:39:00,INST0028,INST0097,261.88,derivative
2022-08-27 01:13:00,INST0388,INST0256,9.3,repo
2022-08-27 09:28:00,INST0137,INST0282,8.07,settlement
2022-08-27 03:01:00,INST0451,INST0358,40.31,repo
2022-08-27 07:45:00,INST0499,INST0323,156.74,derivative
2022-08-27 00:35:00,INST0082,INST0160,1.26,derivative
2022-08-27 03:29:00,INST0209,INST0048,19.2,settlement
2022-08-27 15:59:00,INST0485,INST0061,3.31,settlement
2022-08-27 22:17:00,INST0367,INST0150,2.44,derivative
2022-08-27 15:15:00,INST0213,INST0428,79.75,repo
2022-08-27 12:12:00,INST0234,INST0283,8.1,settlement
2022-08-27 23:56:00,INST0472,INST0307,33.1,derivative
2022-08-27 08:49:00,INST0070,INST0443,10.86,payment
2022-08-27 10:59:00,INST0405,INST0438,20.89,repo
2022-08-27 00:18:00,INST0404,INST0260,3.09,collateral
2022-08-27 18:42:00,INST0372,INST0153,44.89,derivative
2022-08-27 14:34:00,INST0251,INST0444,18.85,settlement
2022-08-27 17:48:00,INST0248,INST0177,61.48,collateral
2022-08-27 10:55:00,INST0279,INST0194,5.9,repo
2022-08-27 18:24:00,INST0097,INST0358,57.77,settlement
2022-08-27 01:20:00,INST0120,INST0439,49.82,repo
2022-08-27 12:42:00,INST0382,INST0243,38.47,repo
2022-08-27 15:02:00,INST0406,INST0421,290.49,settlement
2022-08-27 10:55:00,INST0065,INST0258,0.84,derivative
2022-08-27 03:33:00,INST0052,INST0448,23.35,repo
2022-08-27 23:09:00,INST0467,INST0234,0.46,payment
2022-08-27 02:30:00,INST0210,INST0446,80.05,settlement
2022-08-27 10:39:00,INST0401,INST0497,1.78,collateral
2022-08-27 10:54:00,INST0355,INST0204,6.15,payment
2022-08-27 12:20:00,INST0346,INST0440,1.17,derivative
2022-08-27 17:02:00,INST0321,INST0368,18.59,repo
2022-08-27 20:43:00,INST0317,INST0036,4.77,settlement
2022-08-27 23:05:00,INST0472,INST0148,1.09,settlement
2022-08-27 14:10:00,INST0223,INST0051,6.07,payment
2022-08-27 01:20:00,INST0356,INST0154,6.94,payment
2022-08-27 11:23:00,INST0408,INST0029,15.88,collateral
2022-08-27 16:26:00,INST0221,INST0075,21.93,settlement
2022-08-27 05:11:00,INST0290,INST0350,4.88,settlement
2022-08-27 19:43:00,INST0041,INST0313,1.43,repo
2022-08-27 04:14:00,INST0124,INST0255,6.9,derivative
2022-08-27 14:16:00,INST0237,INST0327,4.4,collateral
2022-08-27 09:43:00,INST0342,INST0005,22.69,repo
2022-08-27 14:22:00,INST0280,INST0081,12.63,payment
2022-08-27 22:16:00,INST0301,INST0154,1.53,repo
2022-08-27 06:24:00,INST0234,INST0433,11.27,collateral
2022-08-27 07:24:00,INST0437,INST0248,4.7,payment
2022-08-27 09:44:00,INST0293,INST0184,13.74,derivative
2022-08-27 08:00:00,INST0152,INST0012,9.3,repo
2022-08-27 19:47:00,INST0290,INST0443,4.65,payment
2022-08-27 07:38:00,INST0255,INST0427,1.26,collateral
2022-08-27 20:12:00,INST0411,INST0181,8.58,settlement
2022-08-27 20:06:00,INST0318,INST0129,1.16,settlement
2022-08-27 09:50:00,INST0463,INST0322,6.57,payment
2022-08-27 11:46:00,INST0226,INST0018,3.08,derivative
2022-08-27 10:47:00,INST0068,INST0047,51.81,collateral
2022-08-27 04:50:00,INST0213,INST0090,8.26,settlement
2022-08-27 16:32:00,INST0277,INST0449,104.22,collateral
2022-08-27 08:58:00,INST0468,INST0140,14.51,settlement
2022-08-27 09:47:00,INST0423,INST0484,47.72,repo
2022-08-27 14:04:00,INST0446,INST0174,1.76,payment
2022-08-27 21:46:00,INST0073,INST0387,6.39,settlement
2022-08-27 11:05:00,INST0346,INST0204,11.44,derivative
2022-08-27 08:34:00,INST0405,INST0203,64.29,payment
2022-08-27 21:47:00,INST0064,INST0233,6.69,collateral
2022-08-27 12:52:00,INST0345,INST0135,4.69,derivative
2022-08-27 03:43:00,INST0327,INST0482,4.04,collateral
2022-08-27 19:56:00,INST0120,INST0242,0.74,payment
2022-08-27 19:14:00,INST0483,INST0288,94.48,collateral
2022-08-27 22:19:00,INST0332,INST0033,3.84,repo
2022-08-27 04:02:00,INST0333,INST0210,25.61,payment
2022-08-27 15:07:00,INST0485,INST0020,0.21,collateral
2022-08-27 04:24:00,INST0050,INST0121,0.27,derivative
2022-08-27 13:37:00,INST0233,INST0190,1.81,derivative
2022-08-27 13:41:00,INST0381,INST0373,33.4,settlement
2022-08-27 19:26:00,INST0051,INST0427,23.46,repo
2022-08-27 01:44:00,INST0481,INST0488,7.47,collateral
2022-08-27 14:15:00,INST0190,INST0112,7.46,repo
2022-08-27 21:23:00,INST0438,INST0186,21.98,payment
2022-08-27 01:25:00,INST0279,INST0462,0.41,collateral
2022-08-27 14:05:00,INST0142,INST0098,14.6,payment
2022-08-27 00:03:00,INST0340,INST0109,7.22,derivative
2022-08-27 04:50:00,INST0403,INST0171,1.33,settlement
2022-08-27 17:13:00,INST0290,INST0106,20.92,payment
2022-08-27 10:49:00,INST0301,INST0111,11.41,settlement
2022-08-27 00:17:00,INST0076,INST0404,23.27,derivative
2022-08-27 17:16:00,INST0440,INST0075,24.68,settlement
2022-08-27 21:55:00,INST0409,INST0090,18.46,payment
2022-08-27 11:50:00,INST0014,INST0068,27.75,payment
2022-08-27 10:01:00,INST0404,INST0122,20.26,derivative
2022-08-27 04:47:00,INST0090,INST0136,540.73,payment
2022-08-27 23:04:00,INST0216,INST0270,2.85,payment
2022-08-27 16:37:00,INST0244,INST0230,112.33,collateral
2022-08-27 07:39:00,INST0056,INST0232,3.21,derivative
2022-08-27 09:29:00,INST0023,INST0373,14.27,derivative
2022-08-27 01:30:00,INST0330,INST0494,5.35,payment
2022-08-27 21:06:00,INST0434,INST0206,28.44,repo
2022-08-27 02:57:00,INST0252,INST0365,5.87,repo
2022-08-27 04:04:00,INST0042,INST0165,41.3,derivative
2022-08-27 20:37:00,INST0065,INST0141,12.65,derivative
2022-08-27 12:38:00,INST0281,INST0365,14.84,collateral
2022-08-27 16:38:00,INST0272,INST0151,8.41,repo
2022-08-27 20:41:00,INST0221,INST0051,19.75,payment
2022-08-27 23:55:00,INST0450,INST0394,5.06,derivative
2022-08-27 07:26:00,INST0111,INST0221,0.72,repo
2022-08-27 12:26:00,INST0174,INST0424,3.18,repo
2022-08-27 13:20:00,INST0374,INST0049,1.6,collateral
2022-08-27 04:43:00,INST0341,INST0131,3.6,collateral
2022-08-27 02:53:00,INST0473,INST0243,11.54,payment
2022-08-27 03:47:00,INST0044,INST0048,9.96,repo
2022-08-27 17:03:00,INST0379,INST0191,14.79,settlement
2022-08-27 17:21:00,INST0301,INST0490,76.5,derivative
2022-08-27 11:55:00,INST0344,INST0063,4.9,repo
2022-08-27 23:03:00,INST0341,INST0482,3.4,repo
2022-08-27 09:22:00,INST0496,INST0148,3.64,derivative
2022-08-27 06:09:00,INST0054,INST0296,16.07,derivative
2022-08-27 03:22:00,INST0337,INST0247,5.45,settlement
2022-08-27 03:48:00,INST0433,INST0285,6.24,collateral
2022-08-27 13:54:00,INST0143,INST0294,2.44,settlement
2022-08-27 19:43:00,INST0288,INST0499,83.79,derivative
2022-08-27 19:59:00,INST0330,INST0286,4.16,payment
2022-08-27 00:11:00,INST0337,INST0425,2.28,collateral
2022-08-27 10:22:00,INST0140,INST0360,2.36,collateral
2022-08-27 18:42:00,INST0004,INST0093,1.76,settlement
2022-08-27 23:40:00,INST0206,INST0036,9.07,settlement
2022-08-27 23:33:00,INST0498,INST0016,1.48,payment
2022-08-27 14:21:00,INST0111,INST0193,1.71,repo
2022-08-27 23:20:00,INST0081,INST0190,9.02,collateral
2022-08-27 19:05:00,INST0398,INST0483,34.48,derivative
2022-08-27 05:48:00,INST0453,INST0027,0.95,settlement
2022-08-27 08:28:00,INST0317,INST0026,0.23,payment
2022-08-27 19:28:00,INST0339,INST0218,12.97,repo
2022-08-27 16:07:00,INST0213,INST0140,0.5,settlement
2022-08-27 09:43:00,INST0177,INST0221,3.33,payment
2022-08-27 16:42:00,INST0348,INST0304,37.56,repo
2022-08-27 12:38:00,INST0158,INST0024,2.16,settlement
2022-08-27 09:13:00,INST0029,INST0004,8.1,settlement
2022-08-27 09:20:00,INST0393,INST0071,51.93,collateral
2022-08-27 23:27:00,INST0062,INST0004,1.09,repo
2022-08-27 17:45:00,INST0090,INST0067,174.82,repo
2022-08-27 21:51:00,INST0118,INST0257,1.81,derivative
2022-08-27 23:02:00,INST0182,INST0037,1.59,repo
2022-08-27 02:55:00,INST0224,INST0010,8.33,repo
2022-08-27 18:25:00,INST0161,INST0295,10.7,repo
2022-08-27 09:07:00,INST0364,INST0328,3.13,repo
2022-08-27 05:51:00,INST0208,INST0011,14.72,collateral
2022-08-27 22:58:00,INST0486,INST0317,18.52,repo
2022-08-27 03:15:00,INST0186,INST0046,82.56,repo
2022-08-27 16:05:00,INST0224,INST0302,239.8,repo
2022-08-27 23:21:00,INST0203,INST0446,211.03,collateral
2022-08-27 02:32:00,INST0114,INST0171,13.82,settlement
2022-08-27 16:12:00,INST0325,INST0059,28.03,derivative
2022-08-27 11:46:00,INST0464,INST0398,150.44,collateral
2022-08-27 07:06:00,INST0491,INST0420,193.06,settlement
2022-08-27 05:38:00,INST0075,INST0132,135.99,settlement
2022-08-27 05:49:00,INST0079,INST0390,4.0,payment
2022-08-27 18:48:00,INST0322,INST0253,56.15,repo
2022-08-27 20:40:00,INST0297,INST0230,0.19,derivative
2022-08-27 04:28:00,INST0320,INST0166,0.38,collateral
2022-08-27 20:19:00,INST0035,INST0241,12.75,repo
2022-08-27 01:22:00,INST0408,INST0141,113.67,derivative
2022-08-27 14:28:00,INST0260,INST0038,2.38,collateral
2022-08-27 09:04:00,INST0020,INST0030,2.19,collateral
2022-08-27 19:38:00,INST0331,INST0443,2.24,payment
2022-08-27 18:35:00,INST0260,INST0197,6.33,repo
2022-08-27 14:58:00,INST0489,INST0406,29.98,payment
2022-08-27 10:38:00,INST0415,INST0293,88.27,settlement
2022-08-27 01:28:00,INST0244,INST0257,27.3,settlement
2022-08-27 22:05:00,INST0053,INST0416,42.13,collateral
2022-08-27 01:15:00,INST0259,INST0331,6.71,settlement
2022-08-27 16:33:00,INST0363,INST0225,0.54,repo
2022-08-27 11:58:00,INST0313,INST0082,3.84,collateral
2022-08-27 10:43:00,INST0145,INST0199,14.79,repo
2022-08-27 02:21:00,INST0307,INST0027,3.65,collateral
2022-08-27 09:16:00,INST0049,INST0286,2.35,repo
2022-08-27 04:21:00,INST0371,INST0437,6.38,derivative
2022-08-27 11:19:00,INST0042,INST0299,2.33,settlement
2022-08-27 04:38:00,INST0496,INST0336,9.89,repo
2022-08-27 09:35:00,INST0363,INST0481,3.75,payment
2022-08-27 04:42:00,INST0193,INST0330,7.28,collateral
2022-08-27 02:41:00,INST0360,INST0425,0.56,derivative
2022-08-27 11:01:00,INST0344,INST0217,8.29,derivative
2022-08-27 06:21:00,INST0186,INST0159,0.99,settlement
2022-08-27 06:14:00,INST0486,INST0393,23.14,repo
2022-08-27 09:54:00,INST0071,INST0080,28.84,payment
2022-08-27 17:53:00,INST0404,INST0052,11.34,derivative
2022-08-27 01:42:00,INST0379,INST0453,10.39,derivative
2022-08-27 04:38:00,INST0173,INST0449,41.53,derivative
2022-08-27 05:53:00,INST0193,INST0079,0.79,settlement
2022-08-27 05:46:00,INST0355,INST0395,7.17,derivative
2022-08-27 11:43:00,INST0225,INST0023,1.93,repo
2022-08-27 19:18:00,INST0369,INST0122,23.62,repo
2022-08-27 07:34:00,INST0386,INST0384,25.23,repo
2022-08-27 06:23:00,INST0123,INST0159,32.81,repo
2022-08-27 14:29:00,INST0348,INST0485,18.05,derivative
2022-08-27 16:33:00,INST0394,INST0145,7.69,repo
2022-08-27 06:51:00,INST0215,INST0495,13.67,settlement
2022-08-27 01:41:00,INST0310,INST0071,2.11,collateral
2022-08-27 17:59:00,INST0247,INST0448,18.22,collateral
2022-08-27 03:18:00,INST0053,INST0365,8.85,derivative
2022-08-27 08:28:00,INST0043,INST0391,20.3,settlement
2022-08-27 13:05:00,INST0464,INST0263,13.35,settlement
2022-08-27 14:56:00,INST0485,INST0467,12.61,settlement
2022-08-27 13:03:00,INST0179,INST0477,0.63,payment
2022-08-27 07:24:00,INST0203,INST0258,53.83,collateral
2022-08-27 00:20:00,INST0042,INST0192,49.09,settlement
2022-08-27 04:08:00,INST0477,INST0051,79.01,collateral
2022-08-27 22:53:00,INST0020,INST0147,9.09,repo
2022-08-27 14:39:00,INST0072,INST0389,2.83,repo
2022-08-27 00:16:00,INST0003,INST0464,0.98,payment
2022-08-27 17:46:00,INST0111,INST0428,1.86,settlement
2022-08-27 03:49:00,INST0312,INST0271,0.1,repo
2022-08-27 03:03:00,INST0148,INST0122,0.95,collateral
2022-08-27 14:04:00,INST0123,INST0215,3.36,derivative
2022-08-27 19:34:00,INST0057,INST0429,2.7,repo
2022-08-27 18:15:00,INST0009,INST0324,2.83,derivative
2022-08-27 13:00:00,INST0368,INST0074,5.21,collateral
